0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:32 -0200] "GET /07_GestaoProdutos/css/estilos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:32 -0200] "GET /07_GestaoProdutos/css/menu.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:58 -0200] "POST /07_GestaoProdutos/produtos HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:58 -0200] "GET /07_GestaoProdutos/css/menu.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:58 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:58 -0200] "GET /07_GestaoProdutos/css/estilos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:32:06 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:32:06 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:32:39 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:32:39 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:32:55 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 2018
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:32:55 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:33:21 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:33:21 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:33:46 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:33:46 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:34:30 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:34:30 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:35:13 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:35:13 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:04:01 -0200] "GET /07_GestaoProdutos/clientews.jsp HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:04:51 -0200] "GET /07_GestaoProdutos/clientews.jsp HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:04:53 -0200] "GET /07_GestaoProdutos/wsjson HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:10:26 -0200] "GET /07_GestaoProdutos/clientews.jsp HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:10:29 -0200] "GET /07_GestaoProdutos/wsjson HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:11:16 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:11:16 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:11:41 -0200] "GET /07_GestaoProdutos/cadastro.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:11:41 -0200] "GET /07_GestaoProdutos/css/estilos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:11:41 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:11:11:41 -0200] "GET /07_GestaoProdutos/css/menu.css HTTP/1.1" 404 1047
