2017-09-23 00:53:35,735 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 00:53:35,745 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\main\resources
2017-09-23 00:53:35,746 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 00:53:35,760 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\test\resources
2017-09-23 20:26:57,536 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-23 20:27:31,086 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 20:27:31,113 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\main\resources
2017-09-23 20:27:31,116 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 20:27:31,125 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\test\resources
2017-10-19 22:36:47,941 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-19 22:36:58,339 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\pom.xml.
2017-10-19 22:36:58,339 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\pom.xml.
2017-10-19 22:36:58,872 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-19 22:36:58,880 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\main\resources
2017-10-19 22:36:58,882 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-19 22:36:58,889 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\test\resources
2017-10-19 22:36:59,894 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavendao:01_ConceitosDependencia:1.0.0 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\pom.xml.
2017-10-19 22:37:00,286 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavenweb:03_ProjetoWeb:1.0.0 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\pom.xml.
2017-10-19 22:37:00,355 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.maven:04_ExemploMaven:1.1 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\04_ExemploMaven\pom.xml.
2017-10-19 22:37:00,579 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-19 22:37:00,587 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\04_ExemploMaven\src\main\resources
2017-10-19 22:37:00,590 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-19 22:37:00,598 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\04_ExemploMaven\src\test\resources
2017-10-19 22:37:01,125 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: br.com.seniorsolution.mavenweb:03_ProjetoWeb:1.0.0 @ C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\pom.xml.
2017-10-19 22:37:03,226 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-19 22:37:03,286 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\main\resources
